,Reduction Method,N Components,JL Applied,Test Acc,1 Star Acc,2 Star Acc,3 Star Acc,4 Star Acc,5 Star Acc
0,LEARNED,480.0,conv1d,0.25290626287460327,0.15180116891860962,0.0,0.035093165934085846,0.4988268315792084,0.5827970504760742
1,GAUSSIAN,480.0,conv1d,0.24581250548362732,0.00031461380422115326,0.05948128551244736,0.6774844527244568,0.028937900438904762,0.4603672921657562
2,SPARSE,480.0,conv1d,0.24828125536441803,0.001258455216884613,0.05932598188519478,0.6240683197975159,0.0,0.5550149083137512
3,LEARNED,288.0,conv1d,0.2447499930858612,0.0,0.050007764250040054,0.0017080745892599225,0.42843735218048096,0.7471354603767395
4,GAUSSIAN,288.0,conv1d,0.2515000104904175,0.007078810594975948,0.1812393218278885,0.13369564712047577,0.34365713596343994,0.5929995179176331
5,SPARSE,288.0,conv1d,0.24703125655651093,0.03979864716529846,0.0015530361561104655,0.541304349899292,0.13217581808567047,0.5196986198425293
6,LEARNED,96.0,conv1d,0.24584375321865082,0.19521786272525787,0.002640161430463195,0.0006211180007085204,0.44658219814300537,0.5886046290397644
7,GAUSSIAN,96.0,conv1d,0.23909375071525574,0.0533270426094532,0.0745457336306572,0.36071428656578064,0.12638823688030243,0.5809135437011719
8,SPARSE,96.0,conv1d,0.19959375262260437,0.06292276084423065,0.04208727926015854,0.037732917815446854,0.7179727554321289,0.138596773147583
9,LEARNED,672.0,conv1d,0.24581250548362732,0.0,0.0,0.540217399597168,0.09494759887456894,0.593313455581665
10,GAUSSIAN,672.0,conv1d,0.2485624998807907,0.0,0.04472744092345238,0.6257764101028442,0.0112623181194067,0.5594097971916199
11,SPARSE,672.0,conv1d,0.24506250023841858,0.2988831102848053,0.0,0.3805900514125824,0.0,0.5479516386985779
12,LEARNED,24.0,conv1d,0.23615625500679016,0.015573383308947086,0.22472433745861053,0.17096273601055145,0.09088064730167389,0.6794851422309875
13,GAUSSIAN,24.0,conv1d,0.20624999701976776,0.1840490847826004,0.13092094659805298,0.08540372550487518,0.2677929103374481,0.36493486166000366
14,SPARSE,24.0,conv1d,0.2097499966621399,0.44627970457077026,0.08510638028383255,0.15077640116214752,0.16627562046051025,0.2029508650302887
15,LEARNED,56.0,attn,0.44746875762939453,0.5324838757514954,0.286379873752594,0.3656832277774811,0.48959800601005554,0.565845251083374
16,GAUSSIAN,56.0,attn,0.43459373712539673,0.7748938202857971,0.26479268074035645,0.2774844765663147,0.315344899892807,0.5451263785362244
17,SPARSE,56.0,attn,0.4444062411785126,0.5128205418586731,0.6168659925460815,0.13509316742420197,0.37259501218795776,0.5865641236305237
18,None,0.0,None,0.4150312542915344,0.7464212775230408,0.34508463740348816,0.026708073914051056,0.25997185707092285,0.7031863331794739
19,LEARNED,40.0,attn,0.4215624928474426,0.6065754294395447,0.36325517296791077,0.428881973028183,0.3461598753929138,0.3641500473022461
20,GAUSSIAN,40.0,attn,0.4639374911785126,0.6212049722671509,0.345550537109375,0.40155279636383057,0.27530109882354736,0.679014265537262
21,SPARSE,40.0,attn,0.44343748688697815,0.5979235768318176,0.4359372556209564,0.2116459608078003,0.2530893087387085,0.7221786379814148
22,LEARNED,24.0,attn,0.4115312397480011,0.7099260687828064,0.32023605704307556,0.03540372848510742,0.5779759287834167,0.4192434549331665
23,GAUSSIAN,24.0,attn,0.44725000858306885,0.5563945174217224,0.38748252391815186,0.4215838611125946,0.2640388011932373,0.6085386872291565
24,SPARSE,24.0,attn,0.44206249713897705,0.6241937875747681,0.04767820984125137,0.35372671484947205,0.532926619052887,0.6570397019386292
25,LEARNED,8.0,attn,0.3759062588214874,0.5095170736312866,0.29849356412887573,0.4644410014152527,0.08337243646383286,0.5248783826828003
26,GAUSSIAN,8.0,attn,0.3296562433242798,0.3580305278301239,0.44246000051498413,0.0,0.4187392592430115,0.4311724901199341
27,SPARSE,8.0,attn,0.316343754529953,0.20575743913650513,0.36775895953178406,0.09052795171737671,0.3269200623035431,0.5923717021942139
28,LEARNED,2.0,attn,0.2641562521457672,0.13056473433971405,0.16974686086177826,0.12686336040496826,0.3522602915763855,0.5432428121566772
29,GAUSSIAN,2.0,attn,0.2527812421321869,0.00015730690211057663,0.35455816984176636,0.12468943744897842,0.23541373014450073,0.5488934516906738
30,SPARSE,2.0,attn,0.25865626335144043,0.1687903106212616,0.18201583623886108,0.14083850383758545,0.25887688994407654,0.544655442237854
